DEPT,GR,CAL,RESDEEP,RESMED,NPHI,RHOB,PE,TOC,VCLAY,VOTZ,VOTZ,VCLC,VPYR,VOM,BVH,BVWF,BVWI,Sw,OIP,SUM OIP,Electrofacies
4448.50,37.15,2.09,1055.21,338.57,-0.15,2.31,7.29,0.08,1.00,0.79,0.16,0.31,0.05,0.08,0.16,0.06,0.00,0.26,0.04,11.92,0.40
4449.00,2.28,2.30,910.00,1012.88,0.01,2.55,4.61,0.09,1.00,0.79,0.17,0.40,0.02,0.09,0.17,0.13,0.08,0.37,0.12,16.91,0.14
4449.50,75.24,9.32,1090.91,847.19,0.05,2.91,4.50,0.05,1.00,0.71,0.57,0.26,0.06,0.09,0.18,0.08,0.05,0.24,0.10,15.39,0.80
4450.00,94.07,5.45,291.88,335.94,-0.13,2.26,5.41,0.01,1.00,0.78,0.11,0.63,0.08,0.08,0.36,0.14,0.03,0.45,0.01,12.83,0.65
4450.50,39.69,15.64,1660.01,250.43,-0.13,2.84,6.15,0.09,1.00,0.76,0.45,0.73,0.04,0.03,0.39,0.01,0.03,0.21,0.21,20.20,0.70
4451.00,54.28,2.00,463.91,684.18,0.04,2.33,6.65,0.10,1.00,0.76,0.53,0.51,0.02,0.02,0.32,0.04,0.06,0.35,0.04,30.49,0.73
4451.50,119.33,7.56,1024.39,231.54,0.41,2.89,1.40,0.03,1.00,0.67,0.20,0.70,0.02,0.05,0.15,0.01,0.00,0.56,0.22,22.11,0.64
4452.00,94.21,6.36,601.65,888.66,0.08,2.63,0.97,0.01,1.00,0.64,0.14,0.54,0.08,0.08,0.19,0.01,0.06,0.37,0.16,17.01,0.88
4452.50,101.85,1.01,898.64,1626.55,0.14,2.56,7.60,0.08,1.00,0.73,0.59,0.20,0.06,0.04,0.11,0.20,0.01,0.08,0.05,18.17,0.11
4453.00,142.15,5.58,233.99,1874.20,0.40,2.78,5.30,0.06,1.00,0.72,0.53,0.24,0.02,0.02,0.11,0.16,0.00,0.29,0.24,21.15,0.96
4453.50,90.01,9.83,720.03,1864.56,0.01,2.85,9.69,0.05,1.00,0.64,0.58,0.32,0.05,0.07,0.24,0.17,0.01,0.95,0.25,14.51,0.51
4454.00,142.57,11.76,607.18,632.90,0.36,2.45,9.29,0.09,1.00,0.64,0.22,0.43,0.06,0.07,0.13,0.13,0.09,0.26,0.14,25.92,0.64
4454.50,77.69,12.96,729.28,1671.10,0.20,2.24,9.16,0.03,1.00,0.62,0.41,0.76,0.02,0.07,0.38,0.02,0.03,0.50,0.20,48.71,0.49
4455.00,76.85,7.40,1644.66,1184.92,0.24,2.01,8.20,0.04,1.00,0.62,0.18,0.76,0.06,0.02,0.07,0.10,0.08,0.87,0.06,18.83,0.40
4455.50,59.11,6.26,725.14,1020.74,0.12,2.44,0.95,0.03,1.00,0.68,0.28,0.49,0.09,0.03,0.07,0.07,0.05,0.74,0.19,46.85,0.01
4456.00,138.28,12.52,68.61,1951.24,0.30,2.49,3.96,0.07,1.00,0.66,0.37,0.23,0.10,0.09,0.38,0.03,0.07,0.88,0.17,43.05,0.22
4456.50,68.58,8.77,1835.45,110.32,0.15,2.85,9.62,0.04,1.00,0.71,0.14,0.76,0.09,0.07,0.16,0.12,0.06,0.51,0.17,33.61,0.56
4457.00,55.08,6.70,777.23,1524.99,0.10,2.47,6.23,0.07,1.00,0.74,0.42,0.28,0.02,0.04,0.06,0.01,0.08,0.56,0.03,17.04,0.51
4457.50,27.39,11.28,282.04,1345.20,-0.06,2.04,1.38,0.04,1.00,0.74,0.27,0.75,0.03,0.01,0.25,0.19,0.03,0.96,0.00,21.03,0.42
4458.00,84.41,0.67,1559.20,1847.84,0.26,2.36,6.22,0.00,1.00,0.66,0.27,0.21,0.06,0.06,0.33,0.03,0.01,0.90,0.03,36.69,0.68
4458.50,98.14,5.07,395.31,1199.64,-0.08,2.75,4.70,0.04,1.00,0.78,0.21,0.69,0.06,0.06,0.10,0.08,0.00,0.50,0.19,7.78,0.94
4459.00,90.54,1.26,1441.85,472.00,0.00,2.25,5.01,0.05,1.00,0.62,0.43,0.11,0.09,0.02,0.11,0.03,0.03,0.47,0.23,14.26,0.77
4459.50,75.21,8.18,824.74,1751.48,-0.09,2.28,4.36,0.09,1.00,0.76,0.33,0.26,0.02,0.01,0.04,0.19,0.05,0.16,0.18,49.76,0.09
4460.00,33.92,3.61,834.43,1499.59,0.02,2.66,3.78,0.04,1.00,0.74,0.32,0.13,0.07,0.02,0.36,0.03,0.10,0.24,0.15,1.36,0.71
4460.50,16.03,1.94,1948.68,847.72,0.40,1.98,8.93,0.00,1.00,0.71,0.54,0.44,0.07,0.09,0.26,0.10,0.03,0.97,0.21,33.11,0.99
4461.00,83.88,15.86,581.05,643.47,0.41,2.13,2.27,0.07,1.00,0.79,0.37,0.10,0.04,0.06,0.31,0.03,0.05,0.83,0.15,14.54,0.86
4461.50,12.58,2.00,1185.77,95.73,0.08,2.34,0.91,0.01,1.00,0.62,0.54,0.47,0.00,0.03,0.05,0.09,0.07,0.71,0.09,23.74,0.86
4462.00,13.75,8.08,1769.34,701.24,-0.11,2.66,5.12,0.09,1.00,0.62,0.47,0.38,0.03,0.09,0.33,0.02,0.01,0.75,0.22,30.34,0.24
4462.50,14.07,8.80,1760.36,1256.85,-0.07,2.39,5.83,0.09,1.00,0.77,0.21,0.64,0.00,0.00,0.34,0.08,0.04,0.64,0.16,15.04,0.82
4463.00,51.48,6.70,533.69,548.83,0.23,2.74,9.94,0.02,1.00,0.76,0.41,0.55,0.02,0.06,0.24,0.05,0.07,0.04,0.00,18.58,0.22
4463.50,141.88,10.97,1554.69,839.19,0.31,2.64,3.38,0.00,1.00,0.74,0.57,0.22,0.09,0.03,0.07,0.16,0.02,0.33,0.22,36.71,0.61
4464.00,85.64,2.09,1430.82,1390.03,0.04,2.20,0.86,0.09,1.00,0.66,0.15,0.78,0.08,0.05,0.11,0.12,0.04,0.40,0.18,11.72,0.95
4464.50,81.09,12.60,724.10,364.78,0.33,2.01,7.45,0.07,1.00,0.75,0.25,0.53,0.02,0.02,0.32,0.04,0.06,0.52,0.01,36.09,0.49
4465.00,6.89,1.71,1382.00,94.60,0.27,2.27,7.96,0.04,1.00,0.74,0.40,0.68,0.03,0.06,0.06,0.19,0.06,0.74,0.04,17.40,0.26
4465.50,129.36,11.58,691.67,314.04,0.29,2.62,1.85,0.03,1.00,0.61,0.60,0.13,0.09,0.06,0.35,0.16,0.09,0.86,0.20,43.90,0.35
4466.00,34.01,10.88,1299.21,1088.87,0.43,2.12,4.04,0.02,1.00,0.61,0.19,0.51,0.01,0.02,0.37,0.16,0.07,0.43,0.10,42.63,0.58
4466.50,49.48,4.24,1179.60,634.09,0.15,2.89,2.78,0.03,1.00,0.74,0.22,0.62,0.04,0.07,0.05,0.05,0.10,0.44,0.16,21.25,0.55
4467.00,49.68,12.35,1482.13,982.94,0.19,2.82,0.15,0.01,1.00,0.72,0.57,0.46,0.09,0.05,0.28,0.09,0.05,0.43,0.05,44.38,0.88
4467.50,16.02,0.30,908.28,942.74,0.09,2.15,1.59,0.08,1.00,0.75,0.60,0.60,0.01,0.09,0.19,0.12,0.06,0.01,0.11,8.61,0.02
4468.00,86.23,15.92,1839.75,1776.69,0.33,2.88,0.61,0.05,1.00,0.63,0.42,0.18,0.04,0.02,0.04,0.19,0.03,0.56,0.15,28.74,0.69
4468.50,115.25,13.77,1806.04,1344.23,0.36,2.60,9.07,0.09,1.00,0.72,0.42,0.47,0.00,0.02,0.08,0.06,0.06,0.73,0.22,49.29,0.12
4469.00,92.05,5.50,991.73,454.29,0.44,2.04,2.92,0.04,1.00,0.78,0.34,0.22,0.08,0.01,0.10,0.07,0.09,0.56,0.08,31.71,0.90
4469.50,102.66,11.07,1657.64,1466.22,0.35,2.49,0.43,0.08,1.00,0.76,0.43,0.41,0.07,0.02,0.06,0.02,0.05,0.84,0.21,25.32,0.73
4470.00,136.02,10.57,1151.53,1924.25,0.13,2.64,4.93,0.05,1.00,0.64,0.10,0.78,0.09,0.02,0.23,0.18,0.02,0.80,0.23,4.08,0.66
4470.50,108.45,14.64,909.91,1633.97,-0.12,2.54,8.33,0.01,1.00,0.69,0.24,0.11,0.01,0.09,0.30,0.08,0.01,0.72,0.10,10.87,0.07
4471.00,75.17,12.29,810.81,1194.57,0.08,2.51,8.04,0.06,1.00,0.62,0.13,0.53,0.01,0.10,0.20,0.16,0.02,0.45,0.08,18.40,0.72
4471.50,93.74,13.64,1787.93,149.05,-0.02,2.90,7.56,0.02,1.00,0.62,0.29,0.69,0.07,0.03,0.33,0.10,0.03,0.26,0.16,0.74,0.22
4472.00,131.14,3.78,760.23,874.50,0.45,2.34,0.24,0.06,1.00,0.78,0.25,0.42,0.06,0.02,0.07,0.14,0.02,0.28,0.02,2.62,0.89
4472.50,23.94,3.21,409.17,351.83,-0.07,2.56,8.45,0.05,1.00,0.70,0.22,0.45,0.04,0.07,0.16,0.09,0.08,0.17,0.15,12.47,0.46
4473.00,36.38,5.74,566.98,951.21,0.11,2.71,3.29,0.02,1.00,0.65,0.18,0.54,0.08,0.07,0.18,0.16,0.07,0.99,0.06,49.36,0.26
4473.50,95.01,6.64,1477.77,1018.99,0.09,2.09,5.38,0.01,1.00,0.75,0.55,0.24,0.08,0.01,0.38,0.05,0.09,0.44,0.06,33.25,0.14
4474.00,98.73,13.32,241.53,514.45,0.14,2.29,4.67,0.05,1.00,0.71,0.47,0.40,0.08,0.08,0.28,0.17,0.01,0.66,0.05,20.53,0.92
4474.50,133.59,2.35,632.46,1311.19,0.39,2.44,4.99,0.01,1.00,0.72,0.44,0.14,0.05,0.06,0.22,0.19,0.06,0.57,0.05,17.68,0.08
4475.00,28.41,13.88,851.93,124.38,0.05,2.22,4.60,0.09,1.00,0.76,0.29,0.76,0.02,0.05,0.16,0.14,0.05,0.72,0.20,44.83,0.02
4475.50,0.39,6.69,105.60,147.46,0.10,2.65,1.37,0.05,1.00,0.62,0.55,0.25,0.04,0.00,0.12,0.07,0.07,0.57,0.03,17.62,0.58
4476.00,120.42,12.22,1110.32,814.89,0.30,2.56,1.32,0.04,1.00,0.76,0.26,0.23,0.05,0.05,0.22,0.00,0.06,0.76,0.17,15.22,0.88
4476.50,56.32,0.98,569.66,974.79,0.40,2.78,8.47,0.03,1.00,0.71,0.45,0.47,0.01,0.09,0.36,0.00,0.10,0.78,0.17,9.10,0.83
4477.00,107.29,0.30,976.16,1231.98,0.26,2.24,2.17,0.04,1.00,0.72,0.16,0.57,0.03,0.08,0.36,0.14,0.07,0.17,0.11,16.01,0.05
4477.50,86.68,6.87,1470.61,1143.73,0.38,2.10,5.09,0.05,1.00,0.73,0.26,0.59,0.00,0.04,0.07,0.17,0.03,0.52,0.18,20.36,0.06
4478.00,36.64,4.34,1420.24,548.51,-0.05,2.56,3.58,0.03,1.00,0.68,0.27,0.15,0.04,0.08,0.12,0.14,0.08,0.32,0.02,5.92,0.81
4478.50,23.83,6.07,536.50,35.06,0.19,2.72,9.99,0.07,1.00,0.70,0.44,0.79,0.07,0.06,0.32,0.15,0.09,0.88,0.02,37.69,0.68
4479.00,37.76,4.28,911.58,56.39,0.41,2.03,7.71,0.05,1.00,0.70,0.45,0.68,0.06,0.03,0.19,0.10,0.08,0.27,0.22,32.40,0.51
4479.50,94.81,5.90,1712.06,1662.15,0.06,2.00,6.71,0.04,1.00,0.71,0.59,0.11,0.01,0.05,0.24,0.06,0.02,0.67,0.06,4.21,0.93
4480.00,59.60,6.52,1722.95,778.45,0.05,2.94,2.65,0.03,1.00,0.61,0.18,0.45,0.06,0.08,0.35,0.06,0.04,0.69,0.19,14.30,0.21
4480.50,82.89,9.76,1307.11,1667.31,0.43,2.06,2.96,0.08,1.00,0.64,0.49,0.48,0.09,0.05,0.06,0.18,0.09,0.43,0.15,11.90,0.13
4481.00,68.50,0.48,1840.42,1242.48,0.12,2.32,1.20,0.07,1.00,0.78,0.21,0.59,0.01,0.04,0.05,0.04,0.09,0.53,0.16,20.87,0.37
4481.50,134.09,9.49,885.17,857.92,-0.06,2.72,4.88,0.00,1.00,0.67,0.40,0.80,0.00,0.10,0.07,0.15,0.00,0.64,0.09,40.85,0.02
4482.00,72.40,0.92,524.97,1889.08,0.05,2.94,7.81,0.03,1.00,0.75,0.48,0.13,0.05,0.00,0.19,0.09,0.01,0.91,0.03,40.27,0.50
4482.50,97.72,11.36,1068.49,914.53,0.24,2.03,3.59,0.08,1.00,0.67,0.26,0.41,0.03,0.07,0.25,0.04,0.09,0.12,0.08,11.46,0.29
4483.00,32.66,5.36,1415.71,1720.92,0.11,2.16,5.24,0.01,1.00,0.66,0.42,0.39,0.05,0.09,0.31,0.14,0.07,0.19,0.18,45.20,0.47
4483.50,86.95,10.25,339.51,1529.58,0.14,2.44,0.41,0.07,1.00,0.71,0.39,0.56,0.06,0.10,0.31,0.19,0.07,0.88,0.00,46.46,1.00
4484.00,49.02,3.23,513.08,511.54,0.38,2.24,5.53,0.05,1.00,0.73,0.56,0.73,0.07,0.05,0.35,0.19,0.02,0.21,0.04,34.70,0.83
4484.50,51.75,13.34,1319.44,547.83,0.23,2.19,2.63,0.06,1.00,0.72,0.31,0.17,0.05,0.02,0.28,0.06,0.09,0.91,0.18,29.59,0.64
4485.00,88.33,7.94,934.32,1228.27,-0.10,2.07,5.21,0.00,1.00,0.65,0.10,0.12,0.07,0.01,0.27,0.11,0.10,0.58,0.20,41.50,0.10
4485.50,98.43,11.60,1195.03,1405.00,-0.05,2.75,9.25,0.09,1.00,0.77,0.49,0.16,0.01,0.07,0.27,0.10,0.09,0.76,0.01,21.02,0.56
4486.00,57.97,0.70,1895.01,335.72,0.36,2.45,1.51,0.08,1.00,0.68,0.35,0.55,0.03,0.09,0.16,0.12,0.07,0.37,0.09,13.94,0.86
4486.50,143.24,12.93,868.36,42.01,-0.13,2.00,4.02,0.08,1.00,0.69,0.20,0.40,0.03,0.02,0.27,0.16,0.10,0.82,0.05,29.00,0.53
4487.00,87.40,1.42,1910.51,1055.49,0.45,1.96,2.31,0.01,1.00,0.75,0.27,0.58,0.03,0.06,0.37,0.12,0.05,0.67,0.22,44.90,0.20
4487.50,131.32,10.85,56.84,775.83,-0.03,2.89,6.97,0.02,1.00,0.69,0.49,0.12,0.06,0.07,0.38,0.06,0.02,0.84,0.21,16.38,0.13
4488.00,63.00,3.80,199.81,487.40,0.28,2.50,6.20,0.05,1.00,0.79,0.45,0.43,0.07,0.10,0.34,0.14,0.01,0.57,0.13,41.81,0.99
4488.50,18.24,8.58,1272.75,1762.14,0.13,2.75,4.34,0.04,1.00,0.73,0.14,0.48,0.09,0.03,0.03,0.07,0.07,0.65,0.02,5.93,0.42
4489.00,114.36,10.92,1231.33,318.30,-0.11,1.96,8.76,0.07,1.00,0.65,0.50,0.11,0.05,0.01,0.07,0.12,0.06,0.78,0.20,38.38,0.40
4489.50,55.17,14.42,1489.01,512.79,0.27,2.21,3.22,0.07,1.00,0.62,0.25,0.17,0.02,0.09,0.06,0.10,0.10,0.65,0.16,17.11,0.33
4490.00,61.84,14.07,1739.17,133.87,0.12,2.52,2.21,0.04,1.00,0.69,0.24,0.58,0.05,0.00,0.21,0.08,0.04,0.55,0.11,36.71,0.35
4490.50,131.14,4.19,983.16,1738.79,0.29,2.10,7.15,0.04,1.00,0.71,0.35,0.58,0.00,0.07,0.25,0.16,0.04,0.40,0.01,48.87,0.09
4491.00,30.67,2.78,1600.00,547.08,0.27,2.36,8.82,0.08,1.00,0.76,0.15,0.80,0.03,0.07,0.10,0.04,0.05,0.06,0.25,27.87,0.29
4491.50,147.15,6.53,1674.61,806.75,-0.03,2.48,9.38,0.10,1.00,0.60,0.13,0.52,0.09,0.06,0.08,0.06,0.05,0.63,0.09,7.17,0.13
4492.00,24.66,14.44,1832.12,1553.23,0.21,2.68,1.64,0.07,1.00,0.64,0.12,0.73,0.02,0.05,0.22,0.11,0.10,0.88,0.16,32.03,0.34
4492.50,140.66,12.04,1555.20,493.18,0.23,2.62,4.03,0.09,1.00,0.70,0.20,0.31,0.09,0.07,0.35,0.19,0.04,0.08,0.12,13.39,0.31
4493.00,46.09,6.14,71.77,1750.02,0.44,2.35,9.92,0.07,1.00,0.69,0.11,0.70,0.03,0.01,0.30,0.14,0.06,0.15,0.19,49.41,0.71
4493.50,43.15,8.77,206.74,1865.83,0.29,2.00,8.85,0.08,1.00,0.60,0.49,0.46,0.08,0.05,0.17,0.08,0.07,0.03,0.20,10.10,0.28
4494.00,93.53,1.00,1013.66,1846.35,0.30,2.13,9.99,0.10,1.00,0.65,0.26,0.17,0.04,0.02,0.29,0.03,0.05,0.31,0.14,45.47,0.98
4494.50,133.60,4.41,1778.45,1554.88,0.15,2.70,0.56,0.05,1.00,0.76,0.49,0.58,0.09,0.06,0.28,0.11,0.00,0.84,0.12,21.38,0.31
4495.00,49.03,11.60,945.65,791.65,0.43,2.70,1.17,0.04,1.00,0.68,0.26,0.16,0.06,0.08,0.03,0.08,0.06,0.57,0.01,25.35,0.86
4495.50,135.56,2.29,1138.83,508.83,-0.13,2.23,1.60,0.10,1.00,0.79,0.58,0.70,0.03,0.00,0.06,0.11,0.02,0.70,0.05,25.86,0.84
4496.00,14.95,2.82,1450.62,1741.17,-0.02,2.05,6.90,0.08,1.00,0.65,0.45,0.59,0.01,0.10,0.09,0.16,0.07,0.14,0.24,31.77,0.53
4496.50,31.86,10.69,1128.65,1004.63,0.29,2.09,1.01,0.08,1.00,0.79,0.59,0.29,0.02,0.02,0.17,0.17,0.08,0.35,0.20,21.54,0.10
4497.00,108.66,10.32,1931.53,802.07,0.04,2.38,7.30,0.09,1.00,0.74,0.19,0.32,0.02,0.04,0.23,0.13,0.08,0.89,0.09,35.26,0.45
4497.50,106.52,15.96,1686.75,384.73,0.21,2.22,3.49,0.01,1.00,0.78,0.18,0.48,0.05,0.05,0.14,0.04,0.07,0.70,0.06,9.88,0.24
4498.00,3.55,8.88,325.59,1037.64,0.23,2.36,9.23,0.02,1.00,0.65,0.31,0.64,0.04,0.07,0.26,0.16,0.03,0.28,0.19,24.61,0.15
4498.50,31.72,2.00,692.88,234.03,-0.08,2.71,7.51,0.03,1.00,0.78,0.56,0.74,0.07,0.09,0.27,0.00,0.08,0.30,0.10,48.67,0.07
4499.00,26.19,7.58,1926.95,759.14,0.17,2.65,5.22,0.08,1.00,0.68,0.42,0.15,0.01,0.08,0.37,0.20,0.01,0.17,0.20,18.83,0.16
4499.50,5.21,12.98,451.47,1888.68,0.30,2.06,6.62,0.04,1.00,0.63,0.38,0.13,0.06,0.02,0.22,0.15,0.02,0.23,0.17,26.24,0.79
4500.00,53.32,2.25,1532.70,1964.27,-0.05,2.26,3.73,0.02,1.00,0.66,0.33,0.36,0.04,0.06,0.16,0.00,0.01,0.79,0.04,41.04,0.15
4500.50,7.60,2.64,32.77,632.70,0.33,2.86,6.67,0.06,1.00,0.65,0.37,0.69,0.06,0.01,0.34,0.05,0.09,0.24,0.10,33.74,0.50
4501.00,53.41,4.71,883.17,1959.94,0.24,2.10,7.70,0.01,1.00,0.79,0.34,0.46,0.10,0.07,0.09,0.06,0.08,0.94,0.14,49.67,0.81
4501.50,64.04,9.78,1005.12,1932.65,0.43,2.07,6.19,0.05,1.00,0.66,0.39,0.24,0.05,0.06,0.13,0.06,0.08,0.54,0.06,39.46,0.09
4502.00,64.48,10.31,874.76,1907.53,-0.06,2.32,8.88,0.07,1.00,0.73,0.47,0.77,0.06,0.07,0.06,0.12,0.01,0.16,0.23,40.57,0.23
4502.50,34.52,2.31,1863.52,573.28,0.19,2.25,7.38,0.01,1.00,0.70,0.53,0.65,0.04,0.03,0.25,0.02,0.08,0.14,0.18,42.97,0.22
4503.00,6.24,6.68,525.13,106.90,-0.03,2.82,8.45,0.02,1.00,0.74,0.52,0.67,0.03,0.02,0.23,0.10,0.01,0.06,0.22,26.94,0.81
4503.50,147.20,0.64,882.56,277.15,0.08,2.02,0.05,0.04,1.00,0.69,0.60,0.14,0.01,0.09,0.09,0.14,0.04,0.47,0.08,1.81,0.10
4504.00,5.34,1.77,1206.59,438.85,0.07,2.75,9.13,0.09,1.00,0.68,0.22,0.24,0.03,0.06,0.30,0.03,0.01,0.87,0.06,31.71,0.98
4504.50,133.22,15.68,1952.27,1567.52,0.11,1.99,5.83,0.05,1.00,0.67,0.49,0.46,0.05,0.02,0.38,0.13,0.09,0.82,0.00,30.88,0.63
4505.00,106.15,8.61,667.09,1766.07,0.26,2.72,0.38,0.07,1.00,0.64,0.40,0.51,0.03,0.05,0.35,0.11,0.02,0.84,0.22,16.93,0.61
4505.50,12.45,12.75,1014.15,1212.15,0.13,2.34,7.98,0.01,1.00,0.75,0.42,0.44,0.02,0.05,0.21,0.13,0.08,0.97,0.09,34.25,0.90
4506.00,60.73,13.49,43.36,909.41,0.31,2.76,2.66,0.06,1.00,0.71,0.45,0.63,0.01,0.03,0.16,0.14,0.00,0.87,0.13,48.65,0.55
4506.50,7.99,2.55,797.60,488.20,0.03,2.06,3.54,0.07,1.00,0.77,0.14,0.78,0.03,0.06,0.37,0.16,0.04,0.58,0.20,24.32,0.14
4507.00,74.15,3.05,808.83,1127.61,0.21,2.74,9.54,0.07,1.00,0.69,0.60,0.72,0.06,0.04,0.13,0.14,0.00,0.28,0.11,21.01,0.14
4507.50,139.32,7.79,1912.19,289.48,0.04,2.49,4.23,0.00,1.00,0.69,0.21,0.69,0.04,0.01,0.07,0.11,0.02,0.35,0.16,27.53,0.89
4508.00,12.57,15.22,220.05,1609.90,-0.04,2.22,0.47,0.03,1.00,0.70,0.34,0.42,0.07,0.06,0.27,0.08,0.09,0.71,0.11,45.06,0.31
4508.50,36.01,13.39,1656.33,1798.30,0.04,1.99,8.31,0.06,1.00,0.75,0.44,0.55,0.02,0.05,0.03,0.02,0.09,0.87,0.14,37.50,0.66
4509.00,112.44,10.00,1292.55,1808.45,0.28,2.00,8.80,0.10,1.00,0.61,0.22,0.70,0.02,0.01,0.40,0.05,0.07,0.15,0.07,9.48,0.51
4509.50,57.08,6.54,981.67,164.91,0.37,2.81,3.64,0.06,1.00,0.64,0.16,0.53,0.03,0.04,0.07,0.12,0.04,0.94,0.19,14.05,0.51
4510.00,46.82,12.04,555.57,1117.56,0.40,2.83,8.38,0.10,1.00,0.74,0.13,0.79,0.08,0.09,0.16,0.05,0.00,0.45,0.13,14.46,0.88
4510.50,115.00,13.16,1081.12,939.44,0.11,2.46,0.01,0.03,1.00,0.69,0.58,0.31,0.02,0.03,0.20,0.19,0.08,0.48,0.04,40.33,0.83
4511.00,48.58,1.41,1055.64,1854.02,0.02,2.28,1.83,0.05,1.00,0.72,0.53,0.57,0.10,0.07,0.31,0.03,0.08,0.94,0.09,1.98,0.74
4511.50,67.34,13.98,837.87,687.24,-0.14,2.77,7.44,0.09,1.00,0.77,0.45,0.75,0.09,0.10,0.35,0.09,0.06,0.28,0.02,32.62,0.62
4512.00,65.10,8.13,306.96,1759.19,0.18,2.21,0.38,0.01,1.00,0.74,0.27,0.72,0.03,0.02,0.18,0.04,0.03,0.17,0.20,8.86,1.00
4512.50,118.81,14.06,168.44,848.61,0.08,2.82,3.89,0.02,1.00,0.75,0.33,0.73,0.01,0.09,0.38,0.18,0.05,0.74,0.15,20.76,0.38
4513.00,19.22,13.32,427.08,1014.52,0.31,2.38,8.28,0.03,1.00,0.79,0.39,0.40,0.10,0.01,0.09,0.04,0.10,0.53,0.05,8.46,0.47
4513.50,120.50,9.06,476.87,1442.57,0.13,1.96,9.14,0.06,1.00,0.72,0.31,0.45,0.02,0.00,0.05,0.04,0.05,0.30,0.05,32.88,0.07
4514.00,71.91,5.85,1814.65,1781.98,0.43,2.13,6.08,0.08,1.00,0.68,0.52,0.73,0.09,0.02,0.18,0.04,0.10,0.30,0.01,11.69,0.72
4514.50,108.71,4.50,1946.18,1183.81,0.31,2.78,1.53,0.04,1.00,0.73,0.30,0.50,0.10,0.06,0.01,0.18,0.04,0.78,0.07,24.52,0.54
4515.00,45.21,9.23,702.38,1651.27,0.36,2.36,3.64,0.10,1.00,0.80,0.19,0.72,0.06,0.09,0.28,0.17,0.10,0.69,0.19,28.22,0.36
4515.50,16.27,8.93,1104.10,669.39,-0.13,2.83,0.29,0.07,1.00,0.80,0.15,0.37,0.09,0.02,0.32,0.16,0.10,0.39,0.07,41.19,0.33
4516.00,68.97,13.75,1687.23,44.64,0.09,2.76,5.45,0.08,1.00,0.70,0.25,0.61,0.00,0.05,0.39,0.06,0.01,0.98,0.09,34.94,0.73
4516.50,138.47,15.07,1517.96,641.17,0.43,2.30,5.73,0.05,1.00,0.80,0.44,0.62,0.07,0.05,0.26,0.06,0.02,0.50,0.15,16.88,0.59
4517.00,11.40,12.96,267.81,539.07,0.14,2.88,2.28,0.08,1.00,0.75,0.30,0.55,0.05,0.06,0.30,0.16,0.08,0.91,0.02,46.08,0.95
4517.50,134.74,2.65,359.19,1483.70,0.14,2.73,9.86,0.04,1.00,0.78,0.45,0.71,0.08,0.05,0.34,0.03,0.09,0.30,0.22,40.82,0.31
4518.00,5.97,2.55,287.53,1655.59,0.44,2.12,5.27,0.08,1.00,0.76,0.59,0.54,0.03,0.06,0.28,0.06,0.01,0.83,0.05,7.78,0.01
4518.50,64.14,14.21,156.42,1944.55,-0.09,2.41,9.97,0.02,1.00,0.78,0.46,0.80,0.05,0.10,0.21,0.06,0.03,0.19,0.00,35.09,0.23
4519.00,82.88,3.80,1151.82,120.50,-0.04,2.50,2.16,0.06,1.00,0.61,0.34,0.66,0.00,0.01,0.05,0.03,0.06,0.43,0.04,39.95,0.95
4519.50,83.66,6.90,1557.17,1398.30,0.15,2.50,2.21,0.05,1.00,0.74,0.40,0.33,0.06,0.06,0.09,0.18,0.03,0.69,0.04,16.17,0.70
4520.00,134.74,12.33,1043.81,273.58,0.02,2.58,7.83,0.05,1.00,0.80,0.49,0.34,0.09,0.07,0.28,0.05,0.07,0.48,0.23,12.98,0.70
4520.50,116.05,9.61,681.77,19.56,0.44,2.47,9.82,0.01,1.00,0.73,0.28,0.77,0.09,0.10,0.22,0.01,0.08,0.80,0.21,37.46,0.76
4521.00,97.35,6.92,426.42,1576.49,0.00,2.21,6.08,0.06,1.00,0.69,0.42,0.30,0.05,0.10,0.09,0.02,0.08,0.31,0.17,2.76,0.96
4521.50,106.92,7.41,1466.92,678.58,-0.05,2.92,5.77,0.02,1.00,0.63,0.45,0.68,0.09,0.08,0.23,0.17,0.04,0.09,0.03,38.67,0.25
4522.00,149.02,15.66,927.70,268.78,0.36,2.18,2.05,0.04,1.00,0.79,0.48,0.12,0.03,0.05,0.15,0.05,0.01,0.26,0.15,8.27,0.04
4522.50,4.56,9.49,1622.88,762.08,-0.05,2.53,9.31,0.01,1.00,0.69,0.30,0.18,0.08,0.06,0.03,0.09,0.08,0.29,0.23,8.43,0.15
4523.00,95.96,15.90,473.95,11.37,-0.03,2.40,8.15,0.04,1.00,0.60,0.25,0.41,0.01,0.03,0.18,0.11,0.03,0.26,0.17,16.21,0.29
4523.50,77.84,13.77,194.44,514.05,-0.12,2.84,3.46,0.03,1.00,0.70,0.13,0.14,0.08,0.07,0.16,0.04,0.04,0.12,0.03,33.90,0.27
4524.00,88.05,0.48,313.14,1212.79,0.15,2.23,5.95,0.10,1.00,0.70,0.45,0.75,0.05,0.04,0.39,0.12,0.03,0.61,0.04,21.20,0.18
4524.50,17.94,12.54,778.81,1588.37,0.13,2.28,5.36,0.02,1.00,0.75,0.52,0.70,0.04,0.10,0.20,0.00,0.05,0.17,0.23,8.38,0.49
4525.00,25.88,5.57,1088.21,819.00,0.28,2.89,2.33,0.05,1.00,0.74,0.52,0.27,0.03,0.09,0.25,0.15,0.10,0.49,0.06,17.06,0.07
